Saggio;EsitoSaggio;Molecola;Fonte;Note
DENIGES & KMnO4 (CITRATI);POSITIVO;ACIDO CITRICO;SCHEDE;
DENIGES & KMnO4 (CITRATI);POSITIVO;LITIO CITRATO;SCHEDE;
DENIGES & KMnO4 (CITRATI);POSITIVO;SODIO CITRATO;SCHEDE;PPT BIANCO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;CHINIDINA SOLFATO;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;CHININA SOLFATO;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;METFORMINA HCl;;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;NICOTINAMIDE;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;SODIO SALICILATO;DAZEBAO;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;SORBITOLO;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);NEGATIVO;SUCRALOSIO;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;BENZOCAINA;DAZEBAO;PPT ROSSO O ROSSO-ARANCIO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;DAPSONE;DAZEBAO;PPT ARANCIONE O ROSSO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;METRONIDAZOLO;;PPT ROSA CHIARO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;NICLOSAMIDE;SCHEDE;DOPO RIDUZIONE GRUPPO NO2
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;PROCAINA HCl;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;PROCAINAMMIDE HCl;SCHEDE;PPT ROSSO-ARANCIO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;SODIO P-AMMINO SALICILATO;SCHEDE;
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;SULFADIAZINA;SCHEDE;PPT ARANCIO-ROSSO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;SULFAGUANIDINA;DAZEBAO;
