Saggio;EsitoSaggio;Molecola;Fonte;Note
PROVA AL COCCIO;POSITIVO;TOLBUTAMIDE;;FONDE E CARBONIZZA SENZA RESIDUO
PROVA AL COCCIO;POSITIVO;TRIPTOFANO;;FONDE E CARBONIZZA
TIOCROMO (TIAMINA HCl);POSITIVO;TIAMINA HCl;DAZEBAO;FLUORESCENZA AZZURRA
RESORCINA & FLUORESCENZA (SACCARINA E SALI);POSITIVO;SACCARINA;SCHEDE;
RESORCINA & FLUORESCENZA (SACCARINA E SALI);POSITIVO;SACCARINA SODICA;DAZEBAO;FLUORESCENZA VERDE
RESORCINA + NaOH (CLORALIO IDRATO);NEGATIVO;CLORBUTANOLO;SCHEDE;
RESORCINA + NaOH (CLORALIO IDRATO);NEGATIVO;SUCRALOSIO;SCHEDE;
RESORCINA + NaOH (CLORALIO IDRATO);POSITIVO;CLORALIO IDRATO;SCHEDE;
RIDUZIONE GRUPPO NITRO (NO2-Ar);NEGATIVO;CHININA SOLFATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO ACETILSALICILICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO ASCORBICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO BENZOICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO CITRICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO NICOTINICO;DAZEBAO;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO SALICILICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO SORBICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO TANNICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ACIDO TARTARICO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;ASPARTAME;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;BENZOCAINA;DAZEBAO;
BEILSTEIN (FILO Cu);NEGATIVO;CAFFEINA;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;CALCIO PANTOTENATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;CAPTOPRIL;;
BEILSTEIN (FILO Cu);NEGATIVO;CHINIDINA SOLFATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;FENAZONE;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;FENILALANINA;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;FRUTTOSIO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;FTALILSULFATIAZOLO;DAZEBAO;
BEILSTEIN (FILO Cu);NEGATIVO;IDROCORTISONE;DAZEBAO;
BEILSTEIN (FILO Cu);NEGATIVO;IDROCORTISONE ACETATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;MANNITOLO;DAZEBAO;
BEILSTEIN (FILO Cu);NEGATIVO;METRONIDAZOLO;;
BEILSTEIN (FILO Cu);NEGATIVO;NICOTINAMIDE;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;PROPIFENAZONE;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;PROPILPARABEN;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SACCARINA;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SACCAROSIO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SERINA;;
BEILSTEIN (FILO Cu);NEGATIVO;SODIO ACETATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SODIO CITRATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SODIO P-AMMINO SALICILATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SODIO SALICILATO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SORBITOLO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SPIRONOLATTONE;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SULFADIAZINA;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;SULFATIAZOLO;SCHEDE;
BEILSTEIN (FILO Cu);NEGATIVO;TEOBROMINA;SCHEDE;
BEILSTEIN (FILO Cu);POSITIVO;CHININA HCl;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;CISTEINA HCl;SCHEDE;
BEILSTEIN (FILO Cu);POSITIVO;CLORALIO IDRATO;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;CLORAMINA T;;
BEILSTEIN (FILO Cu);POSITIVO;CLORBUTANOLO;DAZEBAO;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;FIAMMA VERDE VISIBILE SOLO INIZIALMENTE
BEILSTEIN (FILO Cu);POSITIVO;DIFENIDRAMINA HCl;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;ECONAZOLO NITRATO;DAZEBAO;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;EFEDRINA HCl;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;FENILEFRINA HCl;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;IMIPRAMINA HCl;;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;LIDOCAINA HCl;DAZEBAO;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;LISINA HCl;SCHEDE;LEGGERA FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;METFORMINA HCl;;
BEILSTEIN (FILO Cu);POSITIVO;METIONINA;;
BEILSTEIN (FILO Cu);POSITIVO;PROCAINA HCl;;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;PROLINA;;A VOLTE FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;PROMETAZINA HCl;DAZEBAO;FIAMMA VERDE MOLTO EVIDENTE
BEILSTEIN (FILO Cu);POSITIVO;SUCRALOSIO;SCHEDE;FIAMMA VERDE
BEILSTEIN (FILO Cu);POSITIVO;TIAMINA HCl;SCHEDE;LABILE FIAMMA VERDE
SAGGIO BIURETO;NEGATIVO;SULFADIAZINA;SCHEDE;VERDE CHE VIRA AL GRIGIO
SAGGIO BIURETO;POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;PPT BLU
SAGGIO BIURETO;POSITIVO;SULFATIAZOLO;DAZEBAO;PPT BLU
SAGGIO LEGAL (ACIDO ASCORBICO);POSITIVO;ACIDO ASCORBICO;DAZEBAO;
ACIDO CROMOTROPICO;NEGATIVO;DAPSONE;DAZEBAO;NON SI OSSERVANO COLORAZIONI
ACIDO CROMOTROPICO;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;COLORAZIONE VIOLA
SELIWANOFF (CHETOESOSI);NEGATIVO;LATTOSIO;SCHEDE;
SELIWANOFF (CHETOESOSI);POSITIVO;FRUTTOSIO;DAZEBAO;ROSSO INTENSO DOPO TANTI MINUTI A B.M.
SELIWANOFF (CHETOESOSI);POSITIVO;SACCAROSIO;DAZEBAO;ROSSO INTENSO SOLO DOPO DUE MINUTI
SOLUBILITA ACQUA;NEGATIVO;ACIDO SORBICO;DAZEBAO;
SOLUBILITA ACQUA;NEGATIVO;BENZOCAINA;DAZEBAO;SEMBRA POCO SOLUBILE, SE RISCALDI, MA DOPO RAFFREDDAMENTO SI FORMA PPT
SOLUBILITA ACQUA;NEGATIVO;CORTISONE ACETATO;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;DAPSONE;DAZEBAO;INSOLUBILE O POCO SOLUBILE
SOLUBILITA ACQUA;NEGATIVO;ECONAZOLO NITRATO;SCHEDE;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;FENOTIAZINA;DAZEBAO;
SOLUBILITA ACQUA;NEGATIVO;FTALILSULFATIAZOLO;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;FUROSEMIDE;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;IDROCORTISONE;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;INDOMETACINA;DAZEBAO;
SOLUBILITA ACQUA;NEGATIVO;METILPARABEN;SCHEDE;
SOLUBILITA ACQUA;NEGATIVO;NICLOSAMIDE;SCHEDE;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;NIFEDIPINA;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;PREDNISONE;SCHEDE;
SOLUBILITA ACQUA;NEGATIVO;PROBENECID;;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;PROGESTERONE;DAZEBAO;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;PROPILPARABEN;DAZEBAO;
SOLUBILITA ACQUA;NEGATIVO;SACCARINA;SCHEDE;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;SULFADIAZINA;DAZEBAO;
SOLUBILITA ACQUA;NEGATIVO;SULFAMERAZINA;DAZEBAO;INSOLUBILE, ANCHE A CALDO
SOLUBILITA ACQUA;NEGATIVO;TEOBROMINA;DAZEBAO;MOLTO POCO SOLUBILE
SOLUBILITA ACQUA;NEGATIVO;TOLBUTAMIDE;;INSOLUBILE
SOLUBILITA ACQUA;NEGATIVO;VALINA;DAZEBAO;
SOLUBILITA ACQUA;POSITIVO;ACETILCISTEINA;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;POCO SOLUBILE B.M.
SOLUBILITA ACQUA;POSITIVO;ACIDO ASCORBICO;DAZEBAO;SOLUBILE DOPO AGITAZIONE. PH=3-4
SOLUBILITA ACQUA;POSITIVO;ACIDO BENZOICO;SCHEDE;POCO SOLUBILE, B.M. (PH=3)
SOLUBILITA ACQUA;POSITIVO;ACIDO CITRICO;DAZEBAO;PH=3
SOLUBILITA ACQUA;POSITIVO;ACIDO NICOTINICO;DAZEBAO;SI SCIOGLIE RISCALDANDO. PH=4-5
SOLUBILITA ACQUA;POSITIVO;ACIDO SALICILICO;SCHEDE;SOLUBILE B.M. (pH ACIDO)
SOLUBILITA ACQUA;POSITIVO;ACIDO TANNICO;SCHEDE;SOLUBILE (pH=6)
SOLUBILITA ACQUA;POSITIVO;ACIDO TARTARICO;DAZEBAO;SOLUBILE, PH=1-2
SOLUBILITA ACQUA;POSITIVO;ALANINA;DAZEBAO;SI SCIOGLIE MODERATAMENTE RISCALDANDO
SOLUBILITA ACQUA;POSITIVO;ASPARTAME;SCHEDE;SOLUBILE (PH=4,5)
SOLUBILITA ACQUA;POSITIVO;CAFFEINA;DAZEBAO;SOLUBILE B.M. (pH=7)
SOLUBILITA ACQUA;POSITIVO;CALCIO GLICEROFOSFATO;SCHEDE;POCO SOLUBILE (pH=7)
SOLUBILITA ACQUA;POSITIVO;CALCIO GLICEROFOSFATO;;POCO SOLUBILE (SOLO B.M.)
SOLUBILITA ACQUA;POSITIVO;CALCIO LATTATO;SCHEDE;SOLUBILE B.M. (pH=7-8)
SOLUBILITA ACQUA;POSITIVO;CALCIO PANTOTENATO;SCHEDE;PH=6
SOLUBILITA ACQUA;POSITIVO;CAPTOPRIL;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;CHINIDINA SOLFATO;DAZEBAO;SOLUBILE DOPO BREVE RISCALDAMENTO. PH=6-8
SOLUBILITA ACQUA;POSITIVO;CHININA HCl;SCHEDE;SCALDANDO
SOLUBILITA ACQUA;POSITIVO;CHININA SOLFATO;DAZEBAO;POCO SOLUBILE
SOLUBILITA ACQUA;POSITIVO;CISTEINA HCl;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;CLORALIO IDRATO;SCHEDE;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;CLORAMINA T;;POCO SOLUBILE (B.M.)
SOLUBILITA ACQUA;POSITIVO;CLORBUTANOLO;DAZEBAO;POCO SOLUBILE
SOLUBILITA ACQUA;POSITIVO;CLOROCHINA BIFOSFATO;SCHEDE;
SOLUBILITA ACQUA;POSITIVO;CLORPROMAZINA HCl;DAZEBAO;SOLUBILE pH=7
SOLUBILITA ACQUA;POSITIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;PH=8
SOLUBILITA ACQUA;POSITIVO;DIFENIDRAMINA HCl;SCHEDE;SOLUBILE pH=7
SOLUBILITA ACQUA;POSITIVO;EFEDRINA HCl;SCHEDE;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;FENAZONE;DAZEBAO;SOLUBILE (pH=8)
SOLUBILITA ACQUA;POSITIVO;FENILALANINA;SCHEDE;SOLUBILE B.M.
SOLUBILITA ACQUA;POSITIVO;FENILEFRINA HCl;SCHEDE;SOLUBILE (pH=5)
SOLUBILITA ACQUA;POSITIVO;FENOLO;SCHEDE;
SOLUBILITA ACQUA;POSITIVO;FRUTTOSIO;SCHEDE;MOLTO SOLUBILE. PH=7
SOLUBILITA ACQUA;POSITIVO;GLICINA;;POCO SOLUBILE
SOLUBILITA ACQUA;POSITIVO;GLUCOSIO;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;POCO SOLUBILE A B.M. (PH=6)
SOLUBILITA ACQUA;POSITIVO;ISONIAZIDE;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;LATTOSIO;DAZEBAO;SOLUBILE, PH=6-7
SOLUBILITA ACQUA;POSITIVO;LEUCINA;;SOLUBILE (pH=8)
SOLUBILITA ACQUA;POSITIVO;LIDOCAINA HCl;DAZEBAO;SI SCIOGLIE COMPLETAMENTE SOLAMENTE SCALDANDO. pH=7
SOLUBILITA ACQUA;POSITIVO;LISINA HCl;DAZEBAO;
SOLUBILITA ACQUA;POSITIVO;LITIO CITRATO;SCHEDE;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;MAGNESIO ASPARTATO;SCHEDE;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;MAGNESIO LATTATO;;SOLUBILE B.M. (pH=6-7)
SOLUBILITA ACQUA;POSITIVO;MANNITOLO;DAZEBAO;MOLTO SOLUBILE. PH=6
SOLUBILITA ACQUA;POSITIVO;METFORMINA HCl;;SOLUBILE (pH=7)
SOLUBILITA ACQUA;POSITIVO;METIONINA;;SOLUBILE SOLO B.M.
SOLUBILITA ACQUA;POSITIVO;METRONIDAZOLO;DAZEBAO;SOLUBILE B.M. (pH=7)
SOLUBILITA ACQUA;POSITIVO;NICOTINAMIDE;DAZEBAO;SOLUBILE B.M. (pH=6-7)
SOLUBILITA ACQUA;POSITIVO;PAPAVERINA HCl;DAZEBAO;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;PARACETAMOLO;DAZEBAO;
SOLUBILITA ACQUA;POSITIVO;PIRIDOSSINA HCl;DAZEBAO;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;POTASSIO ASPARTATO;;SOLUBILE (pH=7-8)
SOLUBILITA ACQUA;POSITIVO;POTASSIO SORBATO;DAZEBAO;POCO SOLUBILE. PH=7
SOLUBILITA ACQUA;POSITIVO;POTASSIO TARTRATO;SCHEDE;MOLTO SOLUBILE. PH=7-8
SOLUBILITA ACQUA;POSITIVO;PROCAINA HCl;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;PROCAINAMMIDE HCl;DAZEBAO;SOLUBILE, pH=7
SOLUBILITA ACQUA;POSITIVO;PROLINA;;SOLUBILE (pH=7)
SOLUBILITA ACQUA;POSITIVO;PROMETAZINA HCl;SCHEDE;SOLUBILE B.M. (pH=7)
SOLUBILITA ACQUA;POSITIVO;PROPIFENAZONE;SCHEDE;SOLUBILE B.M. (pH=6)
SOLUBILITA ACQUA;POSITIVO;SACCARINA SODICA;SCHEDE;SOLUBILE (PH=7-8)
SOLUBILITA ACQUA;POSITIVO;SACCAROSIO;DAZEBAO;SOLUBILE (PH=6-7), MEGLIO SE A B.M.
SOLUBILITA ACQUA;POSITIVO;SCOPOLAMINA HBr;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;SERINA;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;SODIO ACETATO;DAZEBAO;MOLTO SOLUBILE. PH=7
SOLUBILITA ACQUA;POSITIVO;SODIO ASCORBATO;;SOLUBILE (pH=7-8)
SOLUBILITA ACQUA;POSITIVO;SODIO BENZOATO;DAZEBAO;
SOLUBILITA ACQUA;POSITIVO;SODIO CITRATO;SCHEDE;SOLUBILE B.M. (pH=8)
SOLUBILITA ACQUA;POSITIVO;SODIO P-AMMINO SALICILATO;DAZEBAO;MOLTO SOLUBILE, PH=6-7
SOLUBILITA ACQUA;POSITIVO;SODIO SALICILATO;DAZEBAO;SOLUBILE. PH=6.
SOLUBILITA ACQUA;POSITIVO;SORBITOLO;SCHEDE;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;SUCRALOSIO;SCHEDE;SOLUBILE. PH=6.
SOLUBILITA ACQUA;POSITIVO;SULFAGUANIDINA;DAZEBAO;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;SULFANILAMIDE;;SOLUBILE B.M.
SOLUBILITA ACQUA;POSITIVO;SULFATIAZOLO;DAZEBAO;POCO SOLUBILE SCALDANDO. PH=6-7
SOLUBILITA ACQUA;POSITIVO;TEOFILLINA;;SOLUBILE B.M.
SOLUBILITA ACQUA;POSITIVO;TIAMINA HCl;DAZEBAO;SOLUBILE. PH=6.
SOLUBILITA ACQUA;POSITIVO;TIMOLO;;SOLUBILE (pH=7)
SOLUBILITA ACQUA;POSITIVO;TREONINA;;SOLUBILE
SOLUBILITA ACQUA;POSITIVO;TRIPTOFANO;;SOLUBILE (pH=7)
SOLUBILITA ACQUA;POSITIVO;VANILLINA;SCHEDE;PH=7
SOLUBILITA ETOH;NEGATIVO;ALANINA;DAZEBAO;SOLUZIONE TORBIDA, PRECIPITA SUL FONDO
SOLUBILITA ETOH;NEGATIVO;CALCIO GLICEROFOSFATO;;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;CORTISONE ACETATO;DAZEBAO;
SOLUBILITA ETOH;NEGATIVO;FENILALANINA;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;FTALILSULFATIAZOLO;SCHEDE;
SOLUBILITA ETOH;NEGATIVO;LATTOSIO;DAZEBAO;
SOLUBILITA ETOH;NEGATIVO;MAGNESIO ASPARTATO;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;MAGNESIO LATTATO;;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;MANNITOLO;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;SACCARINA;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;SODIO BENZOATO;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;SODIO P-AMMINO SALICILATO;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;NEGATIVO;SORBITOLO;SCHEDE;INSOLUBILE
SOLUBILITA ETOH;POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;
SOLUBILITA ETOH;POSITIVO;ACIDO CITRICO;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;ACIDO SORBICO;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;ACIDO TANNICO;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;CAFFEINA;DAZEBAO;POCO SOLUBILE
SOLUBILITA ETOH;POSITIVO;CAPTOPRIL;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;CLORALIO IDRATO;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;CLORBUTANOLO;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;DAPSONE;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;DIFENIDRAMINA HCl;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;ECONAZOLO NITRATO;SCHEDE;MOLTO POCO SOLUBILE
SOLUBILITA ETOH;POSITIVO;EFEDRINA HCl;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;FENOTIAZINA;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;GLICINA;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;IDROCORTISONE;DAZEBAO;POCO SOLUBILE
SOLUBILITA ETOH;POSITIVO;IMIPRAMINA HCl;;MOLTO SOLUBILE
SOLUBILITA ETOH;POSITIVO;INDOMETACINA;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;ISONIAZIDE;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;LIDOCAINA HCl;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;METRONIDAZOLO;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;NICOTINAMIDE;DAZEBAO;SOLUBILE
SOLUBILITA ETOH;POSITIVO;NIFEDIPINA;DAZEBAO;
SOLUBILITA ETOH;POSITIVO;PREDNISONE;SCHEDE;
SOLUBILITA ETOH;POSITIVO;PROBENECID;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;PROCAINAMMIDE HCl;;POCO SOLUBILE
SOLUBILITA ETOH;POSITIVO;PROGESTERONE;DAZEBAO;POCO SOLUBILE (SOLUZIONE TRASPARENTE LEGGERMENTE ROSATA)
SOLUBILITA ETOH;POSITIVO;PROMETAZINA HCl;SCHEDE;
SOLUBILITA ETOH;POSITIVO;SACCAROSIO;SCHEDE;POCO SOLUBILE
SOLUBILITA ETOH;POSITIVO;SPIRONOLATTONE;SCHEDE;SOLUBILE
SOLUBILITA ETOH;POSITIVO;TIMOLO;;SOLUBILE
SOLUBILITA ETOH;POSITIVO;TOLBUTAMIDE;;SOLUBILE
SOLUBILITA HCL;NEGATIVO;ACIDO SORBICO;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;CLORBUTANOLO;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;CORTISONE ACETATO;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;
SOLUBILITA HCL;NEGATIVO;ECONAZOLO NITRATO;SCHEDE;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;FENOLO;SCHEDE;
SOLUBILITA HCL;NEGATIVO;FTALILSULFATIAZOLO;DAZEBAO;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;FUROSEMIDE;DAZEBAO;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;IDROCORTISONE;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;IMIPRAMINA HCl;;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;INDOMETACINA;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;METILPARABEN;SCHEDE;
SOLUBILITA HCL;NEGATIVO;PREDNISONE;SCHEDE;
SOLUBILITA HCL;NEGATIVO;PROBENECID;;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;PROGESTERONE;DAZEBAO;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;PROPILPARABEN;DAZEBAO;
SOLUBILITA HCL;NEGATIVO;SODIO BENZOATO;SCHEDE;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;SODIO P-AMMINO SALICILATO;SCHEDE;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;SODIO SALICILATO;SCHEDE;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;SPIRONOLATTONE;SCHEDE;SOLUBILE
SOLUBILITA HCL;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;TIMOLO;;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;TOLBUTAMIDE;;INSOLUBILE
SOLUBILITA HCL;NEGATIVO;VANILLINA;SCHEDE;
SOLUBILITA HCL;POSITIVO;ACETILCISTEINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;ACIDO NICOTINICO;DAZEBAO;
SOLUBILITA HCL;POSITIVO;ACIDO TANNICO;;SOLUBILE
SOLUBILITA HCL;POSITIVO;BENZOCAINA;DAZEBAO;
SOLUBILITA HCL;POSITIVO;CAFFEINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;CALCIO GLICEROFOSFATO;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;CALCIO GLICEROFOSFATO;;SOLUBILE
SOLUBILITA HCL;POSITIVO;CALCIO LATTATO;SCHEDE;
SOLUBILITA HCL;POSITIVO;CAPTOPRIL;;SOLUBILE
SOLUBILITA HCL;POSITIVO;CHINIDINA SOLFATO;;
SOLUBILITA HCL;POSITIVO;CHININA HCl;SCHEDE;
SOLUBILITA HCL;POSITIVO;CISTEINA HCl;;SOLUBILE
SOLUBILITA HCL;POSITIVO;CLORALIO IDRATO;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;CLORAMINA T;;INSOLUBILE
SOLUBILITA HCL;POSITIVO;CLOROCHINA BIFOSFATO;SCHEDE;
SOLUBILITA HCL;POSITIVO;DAPSONE;DAZEBAO;SOLUBILE
SOLUBILITA HCL;POSITIVO;DIFENIDRAMINA HCl;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;FENAZONE;DAZEBAO;SOLUBILE
SOLUBILITA HCL;POSITIVO;FENILALANINA;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;GLICINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;ISONIAZIDE;;SOLUBILE
SOLUBILITA HCL;POSITIVO;LIDOCAINA HCl;DAZEBAO;
SOLUBILITA HCL;POSITIVO;MAGNESIO ASPARTATO;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;MAGNESIO LATTATO;;SOLUBILE
SOLUBILITA HCL;POSITIVO;MANNITOLO;;
SOLUBILITA HCL;POSITIVO;METFORMINA HCl;;SOLUBILE
SOLUBILITA HCL;POSITIVO;METIONINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;METRONIDAZOLO;;SOLUBILE
SOLUBILITA HCL;POSITIVO;NICOTINAMIDE;DAZEBAO;
SOLUBILITA HCL;POSITIVO;POTASSIO TARTRATO;;SOLUBILE
SOLUBILITA HCL;POSITIVO;PROCAINA HCl;;SOLUBILE
SOLUBILITA HCL;POSITIVO;PROCAINAMMIDE HCl;;SOLUBILE
SOLUBILITA HCL;POSITIVO;PROLINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;PROMETAZINA HCl;SCHEDE;
SOLUBILITA HCL;POSITIVO;PROPIFENAZONE;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;SERINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;SODIO ACETATO;DAZEBAO;NON SI FORMA PPT
SOLUBILITA HCL;POSITIVO;SODIO CITRATO;SCHEDE;POCO SOLUBILE
SOLUBILITA HCL;POSITIVO;SORBITOLO;SCHEDE;SOLUBILE
SOLUBILITA HCL;POSITIVO;SULFADIAZINA;SCHEDE;
SOLUBILITA HCL;POSITIVO;SULFAGUANIDINA;DAZEBAO;SOLUBILE
SOLUBILITA HCL;POSITIVO;SULFAMERAZINA;DAZEBAO;
SOLUBILITA HCL;POSITIVO;SULFATIAZOLO;DAZEBAO;
SOLUBILITA HCL;POSITIVO;TEOFILLINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;TREONINA;;SOLUBILE
SOLUBILITA HCL;POSITIVO;VALINA;DAZEBAO;
