id;nome saggio;descrizione;img;molecola interessata;rif saggio temp;visualizza grafico
24;FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE);"Preparare una soluzione sciogliendo circa 20 mg di sostanza in acqua (o in miscela etanolo-acqua con rapporto 1:1). Aggiungere qualche goccia di una soluzione acquosa (8%) di FeCl3. Il saggio è positivo se si forma una colorazione rosso-marrone. Per distinguere se si tratta di Fenazone o Propifenazone, dividere in due aliquote la soluzione ed aggiungere acido cloridrico diluito (HCl 2N) o acido solforico diluito (H2SO4 2N). Se la colorazione diventa gialla per aggiunta di HCl si tratta di Propifenazone; se la colorazione svanisce per aggiunta di H2SO4 si tratta di Fenazone.";saggio_cloruro_ferrico.png;;24;1
25;FeCl3-CONC (BENZOATI & SALICILATI);Preparare una soluzione acquosa della sostanza in esame, sciogliendo circa 20 mg di sostanza in circa 1-2 ml di H2O o EtOH. Aggiungere alcune gocce (fino a 0,5 ml) di una soluzione acquosa (8%) di FeCl3, ed osservare l’eventuale colorazione;saggio_cloruro_ferrico.png;;25;1
27;FENTON: FeSO4 + H2O2 (TARTRATI);Preparare una soluzione acquosa di FeSO4 (1%), pesando una piccola quantità di FeSO4 ed aggiungendo il volume di acqua corrispondente. Preparare una soluzione acquosa della sostanza, sciogliendo circa 25 mg in 2 ml di acqua. Aggiungere 1-2 gocce della soluzione di FeSO4 e 1-2 gocce di acqua ossigenata al 3% (H2O2). In presenza di tartrati si ottiene una colorazione giallina, che tende a scomparire. Aggiungere idrossido di sodio diluito (NaOH 2N), goccia a goccia, osservando la formazione graduale di una colorazione viola. Note: i) La soluzione acquosa di FeSO4 può essere preparata una tantum nel pomeriggio ed utilizzata per più saggi. ii) Per i sali la colorazione viola può comparire anche senza l’aggiunta di NaOH. iii) Il saggio è positivo per Tartrato di potassio, Tartrato di sodio e Acido tartarico. iv) prestare attenzione a non ossidare troppo, in quanto il complesso è a base di Fe2+.;saggio_fenton.png;;27;1
28;FeSO4 & H2SO4 (NITRATI);SOTTO CAPPA IN ASPIRAZIONE, CON OCCHIALI DI PROTEZIONE E GUANTI. Sciogliere circa 20 mg di sostanza in circa 1-2 ml di H2O ed aggiungere circa 1 ml di soluzione di solfato ferroso FeSO4, preparata al momento mettendo una punta di spatola di FeSO4 solido in 1-2 ml di H2O. Prelevare con la pipetta circa 1 ml di acido solforico concentrato (H2SO4) e, lentamente e tenendo la provetta inclinata a circa 45°, aggiungere l’acido goccia a goccia contro il vetro della provetta. Si osserverà una separazione tra fasi, in cui l’acido è nella fase sottostante. Il saggio è positivo se si nota all’interfaccia tra le due fasi la formazione di un anello bruno molto labile, dovuto a complessi ferro-nitrosilici. Note: i) NON AGITARE LA PROVETTA!! ii) Nonostante la F.U. riporti la procedura opposta, con l’aggiunta iniziale di acido e poi della soluzione di FeSO4, riteniamo più prudente che il saggio venga eseguito come descritto.;;;28;1
29;FILO Ni-Cr;Preparare una piccola aliquota di sostanza in un vetrino da orologio. Immergere il filo di Ni-Cr in acido cloridrico concentrato (HCl Conc), e subito dopo passare il filo a contatto con la sostanza, in modo da prelevarne una piccola quantità (qualche cristallo) (anche il passaggio del filo prima sulla sostanza e poi in HCl va bene). Porre il filo di Ni-Cr sulla fiamma del bunsen, prima alla base della fiamma e poi nella zona più alta di fusione. L’eventuale colorazione alla fiamma permette di identificare i cationi: Na+, K+, Li+, Ca2+, Ba2+ secondo le seguenti indicazioni:;;;29;1
30;GIBBS (PIRIDOSSINA);Preparare una soluzione sciogliendo circa 50 mg di sostanza in 1 ml di una soluzione (5%) di sodio acetato (CH3COONa). Aggiungere 1 ml di reattivo di Gibbs. Il saggio è positivo se si ottiene una colorazione verde-blu.;saggio_gibbs.png;;30;1
31;GRANDEZZE FISICHE (PUNTO FUSIONE);;;;31;0
32;H2SO4 & DILUIZIONE H2O (STEROIDI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Disporre circa 10-20 mg di sostanza in una provetta asciutta, ed aggiungere cautamente 2 ml di acido solforico concentrato (H2SO4). Osservare la colorazione che si sviluppa. Aggiungere, con molta cautela, circa 1 ml di acqua, facendola scendere sulle pareti della provetta (inclinata), ed osservare l’eventuale cambiamento nella colorazione. Aggiungere, sempre cautamente, altri 4 ml di acqua, ed osservare le modificazioni della colorazione della soluzione. Infine, verificare eventuale fluorescenza alla lampada UV a λ = 365 nm con schermo protettivo. Di seguito, i risultati attesi per i diversi steroidi;;;32;1
34;H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI);Preparare una soluzione della sostanza, sciogliendo circa 2 mg di sostanza in circa 5 ml di acido solforico diluito (H2SO4 2N). Il saggio è positivo se si sviluppa fluorescenza blu (osservabile alla lampada UV con λ = 365 nm, con schermo di protezione), che scompare con l’aggiunta di 1 ml di acido cloridrico diluito (HCl 2N). Note: i) Chinina e Chinidina danno saggio positivo, ma per la Clorochina il saggio è negativo.;;;34;1
35;HCl + BaCl2 (SOLFATI);Sciogliere circa 20 mg di sostanza in circa 2 ml di H2O (se insolubile in H2O, l’importante è che alla fine la soluzione sia neutra, quindi eventualmente neutralizzare usando soluzioni di NaOH e/o HCl, e controllare il pH). Aggiungere 1-2 ml di acido cloridrico diluito (HCl 2N) e successivamente circa 1 ml di una soluzione acquosa al 6% di cloruro di bario (BaCl2). In presenza di ione solfato, si ha la formazione di solfato di bario, altamente insolubile in acido cloridrico, anche a caldo. Il saggio è positivo se si forma un ppt bianco di BaSO4;;;35;1
